id,kode_provinsi,nama_provinsi,golongan_umur,jumlah_pengangguran_terbuka,satuan,tahun
1,32,JAWA BARAT,15-19,618131,ORANG,2011
2,32,JAWA BARAT,20-24,434894,ORANG,2011
3,32,JAWA BARAT,25-29,248772,ORANG,2011
4,32,JAWA BARAT,30-34,150157,ORANG,2011
5,32,JAWA BARAT,35-39,88399,ORANG,2011
6,32,JAWA BARAT,40-44,110726,ORANG,2011
7,32,JAWA BARAT,45-49,75826,ORANG,2011
8,32,JAWA BARAT,50-54,79436,ORANG,2011
9,32,JAWA BARAT,55-59,54475,ORANG,2011
10,32,JAWA BARAT,60+,33644,ORANG,2011
11,32,JAWA BARAT,15-19,612197,ORANG,2012
12,32,JAWA BARAT,20-24,467226,ORANG,2012
13,32,JAWA BARAT,25-29,274981,ORANG,2012
14,32,JAWA BARAT,30-34,151609,ORANG,2012
15,32,JAWA BARAT,35-39,75773,ORANG,2012
16,32,JAWA BARAT,40-44,71245,ORANG,2012
17,32,JAWA BARAT,45-49,54647,ORANG,2012
18,32,JAWA BARAT,50-54,63567,ORANG,2012
19,32,JAWA BARAT,55-59,33798,ORANG,2012
20,32,JAWA BARAT,60+,23943,ORANG,2012
21,32,JAWA BARAT,15-19,710324,ORANG,2013
22,32,JAWA BARAT,20-24,466445,ORANG,2013
23,32,JAWA BARAT,25-29,240039,ORANG,2013
24,32,JAWA BARAT,30-34,158523,ORANG,2013
25,32,JAWA BARAT,35-39,85636,ORANG,2013
26,32,JAWA BARAT,40-44,70865,ORANG,2013
27,32,JAWA BARAT,45-49,56713,ORANG,2013
28,32,JAWA BARAT,50-54,59267,ORANG,2013
29,32,JAWA BARAT,55-59,22196,ORANG,2013
30,32,JAWA BARAT,60+,18659,ORANG,2013
31,32,JAWA BARAT,15-19,67167,ORANG,2014
32,32,JAWA BARAT,20-24,502698,ORANG,2014
33,32,JAWA BARAT,25-29,224118,ORANG,2014
34,32,JAWA BARAT,30-34,1324,ORANG,2014
35,32,JAWA BARAT,35-39,6021,ORANG,2014
36,32,JAWA BARAT,40-44,58759,ORANG,2014
37,32,JAWA BARAT,45-49,40564,ORANG,2014
38,32,JAWA BARAT,50-54,4238,ORANG,2014
39,32,JAWA BARAT,55-59,22748,ORANG,2014
40,32,JAWA BARAT,60+,19649,ORANG,2014
41,32,JAWA BARAT,15-19,50696,ORANG,2015
42,32,JAWA BARAT,20-24,626167,ORANG,2015
43,32,JAWA BARAT,25-29,2555,ORANG,2015
44,32,JAWA BARAT,30-34,121058,ORANG,2015
45,32,JAWA BARAT,35-39,78836,ORANG,2015
46,32,JAWA BARAT,40-44,52758,ORANG,2015
47,32,JAWA BARAT,45-49,51621,ORANG,2015
48,32,JAWA BARAT,50-54,41607,ORANG,2015
49,32,JAWA BARAT,55-59,43505,ORANG,2015
50,32,JAWA BARAT,60+,16862,ORANG,2015
51,32,JAWA BARAT,15-19,506792,ORANG,2016
52,32,JAWA BARAT,20-24,582814,ORANG,2016
53,32,JAWA BARAT,25-29,29742,ORANG,2016
54,32,JAWA BARAT,30-34,132102,ORANG,2016
55,32,JAWA BARAT,35-39,80059,ORANG,2016
56,32,JAWA BARAT,40-44,82096,ORANG,2016
57,32,JAWA BARAT,45-49,41769,ORANG,2016
58,32,JAWA BARAT,50-54,56446,ORANG,2016
59,32,JAWA BARAT,55-59,3654,ORANG,2016
60,32,JAWA BARAT,60+,57823,ORANG,2016
61,32,JAWA BARAT,15-19,592599,ORANG,2017
62,32,JAWA BARAT,20-24,581831,ORANG,2017
63,32,JAWA BARAT,25-29,218524,ORANG,2017
64,32,JAWA BARAT,30-34,120805,ORANG,2017
65,32,JAWA BARAT,35-39,96176,ORANG,2017
66,32,JAWA BARAT,40-44,64897,ORANG,2017
67,32,JAWA BARAT,45-49,48486,ORANG,2017
68,32,JAWA BARAT,50-54,40523,ORANG,2017
69,32,JAWA BARAT,55-59,36461,ORANG,2017
70,32,JAWA BARAT,60+,39126,ORANG,2017
71,32,JAWA BARAT,15-19,495571,ORANG,2018
72,32,JAWA BARAT,20-24,677147,ORANG,2018
73,32,JAWA BARAT,25-29,266992,ORANG,2018
74,32,JAWA BARAT,30-34,109629,ORANG,2018
75,32,JAWA BARAT,35-39,102657,ORANG,2018
76,32,JAWA BARAT,40-44,76839,ORANG,2018
77,32,JAWA BARAT,45-49,55704,ORANG,2018
78,32,JAWA BARAT,50-54,2866,ORANG,2018
79,32,JAWA BARAT,55-59,24934,ORANG,2018
80,32,JAWA BARAT,60+,10101,ORANG,2018
81,32,JAWA BARAT,15-19,471558,ORANG,2019
82,32,JAWA BARAT,20-24,616326,ORANG,2019
83,32,JAWA BARAT,25-29,298454,ORANG,2019
84,32,JAWA BARAT,30-34,136670,ORANG,2019
85,32,JAWA BARAT,35-39,94345,ORANG,2019
86,32,JAWA BARAT,40-44,100928,ORANG,2019
87,32,JAWA BARAT,45-49,68944,ORANG,2019
88,32,JAWA BARAT,50-54,57539,ORANG,2019
89,32,JAWA BARAT,55-59,37708,ORANG,2019
90,32,JAWA BARAT,60+,19026,ORANG,2019
91,32,JAWA BARAT,15-19,448280,ORANG,2020
92,32,JAWA BARAT,20-24,721517,ORANG,2020
93,32,JAWA BARAT,25-29,413984,ORANG,2020
94,32,JAWA BARAT,30-34,234387,ORANG,2020
95,32,JAWA BARAT,35-39,163002,ORANG,2020
96,32,JAWA BARAT,40-44,170166,ORANG,2020
97,32,JAWA BARAT,45-49,142812,ORANG,2020
98,32,JAWA BARAT,50-54,114901,ORANG,2020
99,32,JAWA BARAT,55-59,84122,ORANG,2020
100,32,JAWA BARAT,60+,39905,ORANG,2020
101,32,JAWA BARAT,15-19,426022,ORANG,2021
102,32,JAWA BARAT,20-24,695382,ORANG,2021
103,32,JAWA BARAT,25-29,407090,ORANG,2021
104,32,JAWA BARAT,30-34,226356,ORANG,2021
105,32,JAWA BARAT,35-39,168443,ORANG,2021
106,32,JAWA BARAT,40-44,134218,ORANG,2021
107,32,JAWA BARAT,45-49,134769,ORANG,2021
108,32,JAWA BARAT,50-54,72382,ORANG,2021
109,32,JAWA BARAT,55-59,60411,ORANG,2021
110,32,JAWA BARAT,60+,105074,ORANG,2021
111,32,JAWA BARAT,15-19,567774,ORANG,2022
112,32,JAWA BARAT,20-24,688725,ORANG,2022
113,32,JAWA BARAT,25-29,290763,ORANG,2022
114,32,JAWA BARAT,30-34,143463,ORANG,2022
115,32,JAWA BARAT,35-39,86860,ORANG,2022
116,32,JAWA BARAT,40-44,77169,ORANG,2022
117,32,JAWA BARAT,45-49,72700,ORANG,2022
118,32,JAWA BARAT,50-54,68049,ORANG,2022
119,32,JAWA BARAT,55-59,54094,ORANG,2022
120,32,JAWA BARAT,60+,76009,ORANG,2022
121,32,JAWA BARAT,15-19,512888,ORANG,2023
122,32,JAWA BARAT,20-24,656304,ORANG,2023
123,32,JAWA BARAT,25-29,258100,ORANG,2023
124,32,JAWA BARAT,30-34,121728,ORANG,2023
125,32,JAWA BARAT,35-39,76669,ORANG,2023
126,32,JAWA BARAT,40-44,58463,ORANG,2023
127,32,JAWA BARAT,45-49,59589,ORANG,2023
128,32,JAWA BARAT,50-54,68623,ORANG,2023
129,32,JAWA BARAT,55-59,45642,ORANG,2023
130,32,JAWA BARAT,60+,30281,ORANG,2023
