id,kode_provinsi,nama_provinsi,jenis_kelamin,jumlah_pengangguran_terbuka,satuan,tahun
1,32,JAWA BARAT,LAKI-LAKI,1258819,JIWA,2011
2,32,JAWA BARAT,PEREMPUAN,643024,JIWA,2011
3,32,JAWA BARAT,LAKI-LAKI,1196140,JIWA,2012
4,32,JAWA BARAT,PEREMPUAN,632846,JIWA,2012
5,32,JAWA BARAT,LAKI-LAKI,1208527,JIWA,2013
6,32,JAWA BARAT,PEREMPUAN,68014,JIWA,2013
7,32,JAWA BARAT,LAKI-LAKI,1129872,JIWA,2014
8,32,JAWA BARAT,PEREMPUAN,645324,JIWA,2014
9,32,JAWA BARAT,LAKI-LAKI,1178424,JIWA,2015
10,32,JAWA BARAT,PEREMPUAN,61645,JIWA,2015
11,32,JAWA BARAT,LAKI-LAKI,1324843,JIWA,2016
12,32,JAWA BARAT,PEREMPUAN,549018,JIWA,2016
13,32,JAWA BARAT,LAKI-LAKI,1177290,JIWA,2017
14,32,JAWA BARAT,PEREMPUAN,662138,JIWA,2017
15,32,JAWA BARAT,LAKI-LAKI,1191278,JIWA,2018
16,32,JAWA BARAT,PEREMPUAN,656956,JIWA,2018
17,32,JAWA BARAT,LAKI-LAKI,1212931,JIWA,2019
18,32,JAWA BARAT,PEREMPUAN,688567,JIWA,2019
19,32,JAWA BARAT,LAKI-LAKI,1693470,JIWA,2020
20,32,JAWA BARAT,PEREMPUAN,839606,JIWA,2020
21,32,JAWA BARAT,LAKI-LAKI,1593078,JIWA,2021
22,32,JAWA BARAT,PEREMPUAN,837069,JIWA,2021
23,32,JAWA BARAT,LAKI-LAKI,1400965,JIWA,2022
24,32,JAWA BARAT,PEREMPUAN,724641,JIWA,2022
25,32,JAWA BARAT,LAKI-LAKI,1321248,JIWA,2023
26,32,JAWA BARAT,PEREMPUAN,567039,JIWA,2023
